chrom	start	end	major_cn	minor_cn	donor_id	study	id
1	1	2462895	1	1	sim1	Eso-AdenoCa	cna0
1	2462896	6560508	2	1	sim1	Eso-AdenoCa	cna1
1	6560509	6845213	1	1	sim1	Eso-AdenoCa	cna2
1	6845214	6937238	1	0	sim1	Eso-AdenoCa	cna3
1	6937239	123093407	2	2	sim1	Eso-AdenoCa	cna4
1	123093408	127755082	3	3	sim1	Eso-AdenoCa	cna5
1	127755083	128207208	4	2	sim1	Eso-AdenoCa	cna6
1	128207209	128431242	1	0	sim1	Eso-AdenoCa	cna7
1	128431243	159955917	2	1	sim1	Eso-AdenoCa	cna8
1	159955918	170768823	4	0	sim1	Eso-AdenoCa	cna9
1	170768824	171079942	4	2	sim1	Eso-AdenoCa	cna10
1	171079943	195503288	1	1	sim1	Eso-AdenoCa	cna11
1	195503289	200054678	3	2	sim1	Eso-AdenoCa	cna12
1	200054679	200633378	3	1	sim1	Eso-AdenoCa	cna13
1	200633379	218910386	2	1	sim1	Eso-AdenoCa	cna14
1	218910387	219002090	1	1	sim1	Eso-AdenoCa	cna15
1	219002091	219096709	3	1	sim1	Eso-AdenoCa	cna16
1	219096710	244461214	1	1	sim1	Eso-AdenoCa	cna17
1	244461215	249250621	2	0	sim1	Eso-AdenoCa	cna18
2	1	102721155	1	1	sim1	Eso-AdenoCa	cna19
2	102721156	104590502	2	1	sim1	Eso-AdenoCa	cna20
2	104590503	158063901	1	1	sim1	Eso-AdenoCa	cna21
2	158063902	169142497	3	2	sim1	Eso-AdenoCa	cna22
2	169142498	175855772	2	1	sim1	Eso-AdenoCa	cna23
2	175855773	178986680	1	1	sim1	Eso-AdenoCa	cna24
2	178986681	209652849	1	0	sim1	Eso-AdenoCa	cna25
2	209652850	209710266	4	2	sim1	Eso-AdenoCa	cna26
2	209710267	209990004	1	1	sim1	Eso-AdenoCa	cna27
2	209990005	215286071	6	2	sim1	Eso-AdenoCa	cna28
2	215286072	215766912	1	1	sim1	Eso-AdenoCa	cna29
2	215766913	215913803	2	1	sim1	Eso-AdenoCa	cna30
2	215913804	219551990	2	0	sim1	Eso-AdenoCa	cna31
2	219551991	227447579	2	1	sim1	Eso-AdenoCa	cna32
2	227447580	227466511	1	0	sim1	Eso-AdenoCa	cna33
2	227466512	243199373	2	1	sim1	Eso-AdenoCa	cna34
3	1	2020120	2	1	sim1	Eso-AdenoCa	cna35
3	2020121	2032526	3	1	sim1	Eso-AdenoCa	cna36
3	2032527	16442155	2	1	sim1	Eso-AdenoCa	cna37
3	16442156	16466936	4	0	sim1	Eso-AdenoCa	cna38
3	16466937	17256182	3	2	sim1	Eso-AdenoCa	cna39
3	17256183	17300371	0	0	sim1	Eso-AdenoCa	cna40
3	17300372	26964280	2	1	sim1	Eso-AdenoCa	cna41
