chrom	start	end	major_cn	minor_cn	donor_id	study	id
1	1	160654	4	2	sim3	Eso-AdenoCa	cna0
1	160655	171275	2	2	sim3	Eso-AdenoCa	cna1
1	171276	962195	2	1	sim3	Eso-AdenoCa	cna2
1	962196	1027341	1	3	sim3	Eso-AdenoCa	cna3
1	1027342	1497486	2	0	sim3	Eso-AdenoCa	cna4
1	1497487	66834822	2	1	sim3	Eso-AdenoCa	cna5
1	66834823	68321970	3	1	sim3	Eso-AdenoCa	cna6
1	68321971	68363038	1	0	sim3	Eso-AdenoCa	cna7
1	68363039	69117046	2	1	sim3	Eso-AdenoCa	cna8
1	69117047	101338968	2	0	sim3	Eso-AdenoCa	cna9
1	101338969	101537313	1	0	sim3	Eso-AdenoCa	cna10
1	101537314	110132300	3	1	sim3	Eso-AdenoCa	cna11
1	110132301	110370208	1	0	sim3	Eso-AdenoCa	cna12
1	110370209	110629419	2	1	sim3	Eso-AdenoCa	cna13
1	110629420	118621779	2	0	sim3	Eso-AdenoCa	cna14
1	118621780	132054268	2	1	sim3	Eso-AdenoCa	cna15
1	132054269	147558745	3	3	sim3	Eso-AdenoCa	cna16
1	147558746	164772467	4	3	sim3	Eso-AdenoCa	cna17
1	164772468	173544816	2	1	sim3	Eso-AdenoCa	cna18
1	173544817	221555538	2	0	sim3	Eso-AdenoCa	cna19
1	221555539	221621654	3	0	sim3	Eso-AdenoCa	cna20
1	221621655	233192314	1	1	sim3	Eso-AdenoCa	cna21
1	233192315	246773083	4	0	sim3	Eso-AdenoCa	cna22
1	246773084	247171888	3	1	sim3	Eso-AdenoCa	cna23
1	247171889	247804030	2	1	sim3	Eso-AdenoCa	cna24
1	247804031	249250621	2	0	sim3	Eso-AdenoCa	cna25
2	1	4865964	2	1	sim3	Eso-AdenoCa	cna26
2	4865965	6582901	2	0	sim3	Eso-AdenoCa	cna27
2	6582902	11462310	1	0	sim3	Eso-AdenoCa	cna28
2	11462311	161651685	1	1	sim3	Eso-AdenoCa	cna29
2	161651686	171575441	3	1	sim3	Eso-AdenoCa	cna30
2	171575442	243199373	1	0	sim3	Eso-AdenoCa	cna31
3	1	126189919	2	1	sim3	Eso-AdenoCa	cna32
3	126189920	126269074	5	1	sim3	Eso-AdenoCa	cna33
3	126269075	126459012	2	0	sim3	Eso-AdenoCa	cna34
3	126459013	127253837	2	2	sim3	Eso-AdenoCa	cna35
3	127253838	132976820	2	1	sim3	Eso-AdenoCa	cna36
3	132976821	133175433	2	0	sim3	Eso-AdenoCa	cna37
3	133175434	134084512	1	0	sim3	Eso-AdenoCa	cna38
3	134084513	144787770	2	2	sim3	Eso-AdenoCa	cna39
3	144787771	170387425	2	1	sim3	Eso-AdenoCa	cna40
3	170387426	176320303	2	0	sim3	Eso-AdenoCa	cna41
3	176320304	198022430	2	2	sim3	Eso-AdenoCa	cna42
4	1	20539396	1	0	sim3	Eso-AdenoCa	cna43
4	20539397	26341537	2	1	sim3	Eso-AdenoCa	cna44
4	26341538	43148791	2	2	sim3	Eso-AdenoCa	cna45
