chrom1	start1	end1	chrom2	start2	end2	strand1	strand2	svclass	id	allele	donor_id	tumor
1	1	2	1	65357943	65357944	-	+	DUP	cna0	major	sim3	Panc-Endocrine
1	1	2	1	65357943	65357944	-	+	DUP	cna0	minor	sim3	Panc-Endocrine
1	65357944	65357945	1	65381713	65381714	-	+	DUP	cna1	major	sim3	Panc-Endocrine
1	65357944	65357945	1	65381713	65381714	+	-	DEL	cna1	minor	sim3	Panc-Endocrine
1	65381714	65381715	1	141863877	141863878	+	-	DEL	cna2	minor	sim3	Panc-Endocrine
1	65381714	117614293	20	1	38479996	+	+	TRA	cna64,cna2	minor,minor	sim3	Panc-Endocrine
1	141863878	141863879	1	249250621	249250622	-	+	DUP	cna3	major	sim3	Panc-Endocrine
1	237574242	249250621	10	68796507	69398458	-	+	TRA	cna36,cna3	minor,minor	sim3	Panc-Endocrine
2	37406657	37406658	2	60997803	60997804	+	-	DEL	cna5	minor	sim3	Panc-Endocrine
2	60997804	60997805	2	86520170	86520171	-	+	DUP	cna6	major	sim3	Panc-Endocrine
2	140703079	243199373	15	1	893047	-	+	TRA	cna7,cna50	major,major	sim3	Panc-Endocrine
3	1	2	3	44229167	44229168	+	-	DEL	cna8	minor	sim3	Panc-Endocrine
3	1	25726457	12	1	23289195	+	+	TRA	cna41,cna8	minor,major	sim3	Panc-Endocrine
3	44229168	44229169	3	46457703	46457704	-	+	DUP	cna9	major	sim3	Panc-Endocrine
3	44229168	44229169	3	46457703	46457704	-	+	DUP	cna9	minor	sim3	Panc-Endocrine
3	46457704	46457705	3	134513294	134513295	+	-	DEL	cna10	minor	sim3	Panc-Endocrine
3	102099006	102099007	3	102109011	102109012	+	+	h2hINV	cna10	major	sim3	Panc-Endocrine
3	134513295	134513296	3	188793461	188793462	-	+	DUP	cna11	major	sim3	Panc-Endocrine
3	163800607	188793461	21	1	31753676	-	+	TRA	cna66,cna11	major,major	sim3	Panc-Endocrine
3	188793462	188793463	3	191392209	191392210	-	+	DUP	cna12	major	sim3	Panc-Endocrine
3	188793462	188793463	3	191392209	191392210	-	+	DUP	cna12	minor	sim3	Panc-Endocrine
3	191392210	191392211	3	192319576	192319577	-	+	DUP	cna13	major	sim3	Panc-Endocrine
3	192319577	192319578	3	192880325	192880326	-	+	DUP	cna14	major	sim3	Panc-Endocrine
3	192319577	192319578	3	192880325	192880326	-	+	DUP	cna14	minor	sim3	Panc-Endocrine
3	192880326	192880327	3	193622700	193622701	-	+	DUP	cna15	major	sim3	Panc-Endocrine
3	192880326	192880327	3	193622700	193622701	+	-	DEL	cna15	minor	sim3	Panc-Endocrine
3	193622701	193622702	3	198022430	198022431	-	+	DUP	cna16	major	sim3	Panc-Endocrine
4	66934530	66934531	4	92599328	92599329	+	-	DEL	cna18	minor	sim3	Panc-Endocrine
4	92599329	92599330	4	92673551	92673552	-	+	DUP	cna19	major	sim3	Panc-Endocrine
4	92599329	92599330	4	92673551	92673552	+	-	DEL	cna19	minor	sim3	Panc-Endocrine
4	92673552	92673553	4	92687753	92687754	-	+	DUP	cna20	major	sim3	Panc-Endocrine
4	92687754	92687755	4	104707131	104707132	-	+	DUP	cna21	major	sim3	Panc-Endocrine
4	92687754	92687755	4	104707131	104707132	+	-	DEL	cna21	minor	sim3	Panc-Endocrine
4	104707132	104707133	4	106492426	106492427	-	+	DUP	cna22	major	sim3	Panc-Endocrine
4	104707132	104707133	4	106492426	106492427	-	+	DUP	cna22	minor	sim3	Panc-Endocrine
4	106492427	106492428	4	157172370	157172371	+	-	DEL	cna23	minor	sim3	Panc-Endocrine
4	106492427	141206190	10	34835557	68728328	+	-	TRA	cna34,cna23	minor,major	sim3	Panc-Endocrine
4	157172371	157172372	4	157179501	157179502	-	+	DUP	cna24	major	sim3	Panc-Endocrine
4	157179502	157179503	4	191154276	191154277	-	+	DUP	cna25	major	sim3	Panc-Endocrine
4	157179502	157179503	4	191154276	191154277	+	-	DEL	cna25	minor	sim3	Panc-Endocrine
5	4326100	4326101	5	4400869	4400870	+	+	h2hINV	cna26	minor	sim3	Panc-Endocrine
5	162140700	162140701	5	163093592	163093593	-	-	t2tINV	cna26	minor	sim3	Panc-Endocrine
6	1	2	6	171115067	171115068	-	+	DUP	cna27	major	sim3	Panc-Endocrine
6	1	2	6	171115067	171115068	+	-	DEL	cna27	minor	sim3	Panc-Endocrine
6	72419640	171115067	10	1	11333117	-	+	TRA	cna27,cna34	minor,major	sim3	Panc-Endocrine
6	158109040	158109041	6	158139207	158139208	-	-	t2tINV	cna27	major	sim3	Panc-Endocrine
9	35779901	35779902	9	72794117	72794118	-	+	DUP	cna31	major	sim3	Panc-Endocrine
9	35779901	35779902	9	72794117	72794118	-	+	DUP	cna31	minor	sim3	Panc-Endocrine
