chrom1	start1	end1	chrom2	start2	end2	strand1	strand2	svclass	id	allele	donor_id	tumor
1	4754840	4754841	1	5193682	5193683	-	+	DUP	cna1	major	sim2	Panc-Endocrine
1	4754840	4754841	1	5193682	5193683	+	-	DEL	cna1	minor	sim2	Panc-Endocrine
1	77174722	77174723	1	225665496	225665497	-	+	DUP	cna3	major	sim2	Panc-Endocrine
1	77174722	77174723	1	225665496	225665497	+	-	DEL	cna3	minor	sim2	Panc-Endocrine
1	205181700	225665496	4	1	142994171	-	+	TRA	cna3,cna7	major,minor	sim2	Panc-Endocrine
1	225665497	225665498	1	249250621	249250622	+	-	DEL	cna4	minor	sim2	Panc-Endocrine
2	1	2842709	6	122290040	171115067	+	-	TRA	cna13,cna5	minor,minor	sim2	Panc-Endocrine
2	12911079	12911080	2	12921085	12921086	+	+	h2hINV	cna5	major	sim2	Panc-Endocrine
2	132410079	243199373	14	1	80159222	-	+	TRA	cna5,cna23	minor,minor	sim2	Panc-Endocrine
2	151665979	243199373	5	25706350	180915260	-	-	TRA	cna5,cna8	major,minor	sim2	Panc-Endocrine
3	1	141636207	6	58016464	82612642	+	-	TRA	cna6,cna11	minor,minor	sim2	Panc-Endocrine
3	144935306	198022430	13	26472023	115169878	-	-	TRA	cna6,cna22	major,minor	sim2	Panc-Endocrine
4	63847276	191154276	6	83907826	91771445	-	+	TRA	cna7,cna13	minor,minor	sim2	Panc-Endocrine
5	171454100	171454101	5	171464110	171464111	-	-	t2tINV	cna8	major	sim2	Panc-Endocrine
6	10713979	10713980	6	10856821	10856822	+	-	DEL	cna10	minor	sim2	Panc-Endocrine
6	82612643	82612644	6	83907825	83907826	-	+	DUP	cna12	major	sim2	Panc-Endocrine
6	82612643	82612644	6	83907825	83907826	+	-	DEL	cna12	minor	sim2	Panc-Endocrine
8	1	25616811	22	48676371	51304566	+	-	TRA	cna15,cna42	major,major	sim2	Panc-Endocrine
8	101653910	145922389	13	53767943	115169878	-	-	TRA	cna15,cna22	minor,minor	sim2	Panc-Endocrine
8	145922390	145922391	8	146364022	146364023	-	+	DUP	cna16	major	sim2	Panc-Endocrine
8	145922390	145922391	8	146364022	146364023	+	-	DEL	cna16	minor	sim2	Panc-Endocrine
9	1	2	9	16855858	16855859	+	-	DEL	cna17	minor	sim2	Panc-Endocrine
10	1	2	10	135534747	135534748	-	+	DUP	cna19	major	sim2	Panc-Endocrine
11	20583999	135006516	19	1	15555679	-	+	TRA	cna38,cna20	major,major	sim2	Panc-Endocrine
12	1	2	12	133851895	133851896	+	-	DEL	cna21	minor	sim2	Panc-Endocrine
14	1	2	14	106609156	106609157	-	+	DUP	cna23	major	sim2	Panc-Endocrine
14	106609157	106609158	14	107349540	107349541	+	-	DEL	cna24	minor	sim2	Panc-Endocrine
15	102040216	102040217	15	102531392	102531393	+	-	DEL	cna26	minor	sim2	Panc-Endocrine
16	90209643	90209644	16	90354753	90354754	+	-	DEL	cna28	minor	sim2	Panc-Endocrine
17	54127900	54127901	17	80193653	80193654	-	+	DUP	cna30	major	sim2	Panc-Endocrine
17	54127900	54127901	17	80193653	80193654	-	+	DUP	cna30	minor	sim2	Panc-Endocrine
17	80193654	80193655	17	80355367	80355368	-	+	DUP	cna31	major	sim2	Panc-Endocrine
17	80193654	80193655	17	80355367	80355368	+	-	DEL	cna31	minor	sim2	Panc-Endocrine
17	80460920	80460921	17	81173059	81173060	-	+	DUP	cna33	major	sim2	Panc-Endocrine
17	80460920	80460921	17	81173059	81173060	+	-	DEL	cna33	minor	sim2	Panc-Endocrine
17	81173060	81173061	17	81195210	81195211	+	-	DEL	cna34	major	sim2	Panc-Endocrine
17	81173060	81173061	17	81195210	81195211	+	-	DEL	cna34	minor	sim2	Panc-Endocrine
18	1	2	18	479425	479426	-	+	DUP	cna35	major	sim2	Panc-Endocrine
18	1	2	18	479425	479426	-	+	DUP	cna35	minor	sim2	Panc-Endocrine
18	479426	479427	18	1639450	1639451	-	+	DUP	cna36	major	sim2	Panc-Endocrine
18	479426	479427	18	1639450	1639451	+	-	DEL	cna36	minor	sim2	Panc-Endocrine
18	1639451	1639452	18	78077248	78077249	-	+	DUP	cna37	major	sim2	Panc-Endocrine
18	1639451	1639452	18	78077248	78077249	-	+	DUP	cna37	minor	sim2	Panc-Endocrine
19	1	2	19	32848666	32848667	-	+	DUP	cna38	major	sim2	Panc-Endocrine
19	1	2	19	32848666	32848667	+	-	DEL	cna38	minor	sim2	Panc-Endocrine
19	32848667	32848668	19	59128983	59128984	+	-	DEL	cna39	minor	sim2	Panc-Endocrine
19	36539478	36539479	19	46953063	46953064	-	-	t2tINV	cna39	major	sim2	Panc-Endocrine
20	53549095	53549096	20	53559100	53559101	+	+	h2hINV	cna40	minor	sim2	Panc-Endocrine
