chrom	start	end	major_cn	minor_cn	donor_id	study	id
1	1	3752408	1	0	sim3	Prost-AdenoCA	cna0
1	3752409	3975308	3	2	sim3	Prost-AdenoCA	cna1
1	3975309	8777559	2	2	sim3	Prost-AdenoCA	cna2
1	8777560	35026393	2	1	sim3	Prost-AdenoCA	cna3
1	35026394	114939850	1	1	sim3	Prost-AdenoCA	cna4
1	114939851	120517566	2	2	sim3	Prost-AdenoCA	cna5
1	120517567	121322877	2	1	sim3	Prost-AdenoCA	cna6
1	121322878	153811967	1	1	sim3	Prost-AdenoCA	cna7
1	153811968	171647401	1	0	sim3	Prost-AdenoCA	cna8
1	171647402	174092479	2	0	sim3	Prost-AdenoCA	cna9
1	174092480	174115195	0	0	sim3	Prost-AdenoCA	cna10
1	174115196	192858941	2	2	sim3	Prost-AdenoCA	cna11
1	192858942	194397729	2	1	sim3	Prost-AdenoCA	cna12
1	194397730	195110082	1	1	sim3	Prost-AdenoCA	cna13
1	195110083	195387819	2	2	sim3	Prost-AdenoCA	cna14
1	195387820	195397761	4	1	sim3	Prost-AdenoCA	cna15
1	195397762	196656804	0	0	sim3	Prost-AdenoCA	cna16
1	196656805	197121691	3	2	sim3	Prost-AdenoCA	cna17
1	197121692	199791936	1	1	sim3	Prost-AdenoCA	cna18
1	199791937	199899939	1	0	sim3	Prost-AdenoCA	cna19
1	199899940	200371063	3	1	sim3	Prost-AdenoCA	cna20
1	200371064	200390405	0	0	sim3	Prost-AdenoCA	cna21
1	200390406	232974474	1	1	sim3	Prost-AdenoCA	cna22
1	232974475	233018831	1	0	sim3	Prost-AdenoCA	cna23
1	233018832	249250621	2	1	sim3	Prost-AdenoCA	cna24
2	1	46330173	1	0	sim3	Prost-AdenoCA	cna25
2	46330174	48276023	1	1	sim3	Prost-AdenoCA	cna26
2	48276024	57117228	1	0	sim3	Prost-AdenoCA	cna27
2	57117229	155458626	3	1	sim3	Prost-AdenoCA	cna28
2	155458627	155725357	5	1	sim3	Prost-AdenoCA	cna29
2	155725358	157282734	1	0	sim3	Prost-AdenoCA	cna30
2	157282735	159493613	2	2	sim3	Prost-AdenoCA	cna31
2	159493614	159686489	1	0	sim3	Prost-AdenoCA	cna32
2	159686490	162716136	2	2	sim3	Prost-AdenoCA	cna33
2	162716137	205993555	1	1	sim3	Prost-AdenoCA	cna34
2	205993556	214287235	1	0	sim3	Prost-AdenoCA	cna35
2	214287236	215931033	1	1	sim3	Prost-AdenoCA	cna36
2	215931034	216533210	0	0	sim3	Prost-AdenoCA	cna37
2	216533211	216651064	1	0	sim3	Prost-AdenoCA	cna38
2	216651065	218535563	2	1	sim3	Prost-AdenoCA	cna39
2	218535564	218860956	1	0	sim3	Prost-AdenoCA	cna40
2	218860957	218873440	1	1	sim3	Prost-AdenoCA	cna41
2	218873441	220762371	1	0	sim3	Prost-AdenoCA	cna42
