chrom	start	end	major_cn	minor_cn	donor_id	study	id
1	1	249250621	1	1	sim3	Lymph-CLL	cna0
2	1	243199373	1	1	sim3	Lymph-CLL	cna1
3	1	198022430	1	1	sim3	Lymph-CLL	cna2
4	1	44183476	1	1	sim3	Lymph-CLL	cna3
4	44183477	45674251	1	0	sim3	Lymph-CLL	cna4
4	45674252	191154276	1	1	sim3	Lymph-CLL	cna5
5	1	180915260	1	1	sim3	Lymph-CLL	cna6
6	1	171115067	1	1	sim3	Lymph-CLL	cna7
7	1	159138663	1	0	sim3	Lymph-CLL	cna8
8	1	146364022	2	1	sim3	Lymph-CLL	cna9
9	1	141213431	1	1	sim3	Lymph-CLL	cna10
10	1	135534747	1	1	sim3	Lymph-CLL	cna11
11	1	135006516	1	1	sim3	Lymph-CLL	cna12
12	1	133851895	1	1	sim3	Lymph-CLL	cna13
13	1	115169878	1	1	sim3	Lymph-CLL	cna14
14	1	44033985	1	0	sim3	Lymph-CLL	cna15
14	44033986	80836808	1	1	sim3	Lymph-CLL	cna16
14	80836809	84895189	7	1	sim3	Lymph-CLL	cna17
14	84895190	107349540	1	1	sim3	Lymph-CLL	cna18
15	1	102531392	1	1	sim3	Lymph-CLL	cna19
16	1	90354753	1	1	sim3	Lymph-CLL	cna20
17	1	81195210	1	1	sim3	Lymph-CLL	cna21
18	1	78077248	1	1	sim3	Lymph-CLL	cna22
19	1	59128983	1	1	sim3	Lymph-CLL	cna23
20	1	63025520	1	1	sim3	Lymph-CLL	cna24
21	1	48129895	1	1	sim3	Lymph-CLL	cna25
22	1	51304566	1	1	sim3	Lymph-CLL	cna26
X	1	155270560	1	1	sim3	Lymph-CLL	cna27
Y	1	59373566	1	1	sim3	Lymph-CLL	cna28
